,feature_name,feature_importance
124,Speed_mangere_wind lag: 12,0.0037040608
125,Rainfall mm lag: 12,0.0036940263
126,pressure trend cos,0.0036874188
127,6 hr rolling avg Speed_manukau_heads_wind,0.0036720883
128,Rainfall mm lag: 2,0.0036583736
129,suntemp,0.0036570495
130,24 hr rolling avg dewpoint (degC),0.0036376452
131,Rainfall_motat_rain lag: 3,0.0036284935
132,Rainfall mm lag: 3,0.0035827332
133,Rainfall_mangere_rain lag: 2,0.0035777509
134,Sea_level_pressure_motat_pressure lag: 2,0.003576167
135,wind_sin lag: 6,0.0035721632
136,Speed_motat_wind lag: 3,0.0035709813
137,wind_sin lag: 2,0.0035654516
138,6 hr rolling avg Sea_level_pressure_motat_pressure,0.0035569207
139,24 hr rolling avg Sea_level_pressure_manukau_heads_pressure,0.0035478966
140,12 hr rolling avg Rainfall_manukau_heads_rain,0.0035392453
141,days sin,0.0035344812
142,24 hr rolling avg Speed_mangere_wind,0.003527698
143,wind_sin lag: 24,0.0035178987
144,cloudiness lag: 3,0.0035145094
145,Mean Relative Humidity percent lag: 2,0.0035127527
146,3 hr rolling avg Rainfall_manukau_heads_rain,0.003511917
147,Rainfall_manukau_heads_rain lag: 6,0.0035023403
148,12 hr rolling avg Sea_level_pressure_mangere_pressure,0.003490221
149,Rainfall_manukau_heads_rain lag: 3,0.0034708
150,24 hr rolling avg Rainfall_manukau_heads_rain,0.0034665794
151,3 hr rolling avg wind_cos,0.00346343
152,3 hr rolling avg Rainfall_mangere_rain,0.0034326552
153,wind_cos lag: 2,0.0034303595
154,Speed_manukau_heads_wind lag: 2,0.0034296021
155,Speed m/s,0.003418807
156,Speed_manukau_heads_wind lag: 3,0.0034113738
157,temphum,0.0034013633
158,Rainfall_mangere_rain lag: 3,0.0033953355
159,6 hr rolling avg Rainfall_mangere_rain,0.0033714843
160,Mean sea level pressure Hpa lag: 6,0.0033656731
161,Mean Relative Humidity percent lag: 6,0.0033556672
162,cloudiness lag: 24,0.0033141593
163,Speed_manukau_heads_wind,0.003310889
164,Mean Relative Humidity percent lag: 1,0.0033073407
