,feature_name,feature_importance
128,dewpoint (degC) lag: 24,0.0042987964
129,24 hr rolling avg Rainfall_albany_rain,0.0042931214
130,6 hr rolling avg Speed_motat_wind,0.004285751
131,Mean Relative Humidity percent lag: 6,0.004265631
132,Rainfall mm lag: 24,0.0042582457
133,dewpoint (degC),0.0042382833
134,3 hr rolling avg Sea_level_pressure_motat_pressure,0.004229657
135,Sea_level_pressure_manukau_heads_pressure lag: 12,0.0042238673
136,Sea_level_pressure_motat_pressure lag: 24,0.004217833
137,P_grad_mang_alb_t,0.0041934387
138,wind_sin lag: 12,0.0041932696
139,Rainfall_albany_rain lag: 6,0.004191035
140,6 hr rolling avg Mean Relative Humidity percent,0.00417158
141,dewpoint (degC) lag: 2,0.004167976
142,6 hr rolling avg Speed_manukau_heads_wind,0.0041665873
143,dewpoint (degC) lag: 3,0.004163417
144,6 hr rolling avg wind_cos,0.004157016
145,Rainfall_albany_rain lag: 3,0.004151811
146,24 hr rolling avg Rainfall_motat_rain,0.004149304
147,Sea_level_pressure_albany_pressure lag: 1,0.004141261
148,Rainfall_motat_rain lag: 2,0.0041403966
149,Sea_level_pressure_albany_pressure lag: 3,0.0041345316
150,3 hr rolling avg Rainfall_manukau_heads_rain,0.0041312273
151,Sea_level_pressure_manukau_heads_pressure lag: 6,0.004127177
152,12 hr rolling avg Rainfall_motat_rain,0.0041218367
153,wind_cos lag: 24,0.0041165003
154,cloudiness lag: 1,0.0041116644
155,6 hr rolling avg Rainfall_manukau_heads_rain,0.004110364
156,pressure trend cos,0.004096172
157,cloudiness lag: 6,0.0040954975
158,P_grad_mang_alb,0.0040906146
159,Mean Relative Humidity percent lag: 24,0.004055947
160,Rainfall_manukau_heads_rain lag: 3,0.004044215
161,Speed_albany_wind lag: 6,0.0040409924
162,24 hr rolling avg Sunshine hrs,0.0040405123
163,Speed_manukau_heads_wind lag: 6,0.004027461
164,wind_sin lag: 1,0.0040262286
165,Sea_level_pressure_manukau_heads_pressure lag: 3,0.004024832
166,Speed_motat_wind lag: 3,0.004022932
167,6 hr rolling avg Rainfall_albany_rain,0.00401845
168,Rainfall mm lag: 6,0.0040092855
169,Speed_motat_wind lag: 6,0.00400676
170,12 hr rolling avg Sunshine hrs,0.0039949166
171,24 hr rolling avg Rainfall mm,0.0039676535
172,wind_sin lag: 3,0.0039439327
173,6 hr rolling avg cloudiness,0.0039373557
174,Rainfall_motat_rain lag: 24,0.003921487
175,12 hr rolling avg Rainfall_albany_rain,0.0039149118
176,3 hr rolling avg Mean sea level pressure Hpa,0.003909946
177,Rainfall_albany_rain lag: 2,0.003881622
178,Sunshine hrs lag: 3,0.0038753818
179,Sea_level_pressure_manukau_heads_pressure lag: 2,0.0038744868
180,Rainfall_manukau_heads_rain lag: 12,0.0038698527
181,Rainfall_manukau_heads_rain lag: 6,0.0038662525
182,cloudiness lag: 12,0.0038593614
183,Rainfall_manukau_heads_rain lag: 24,0.0038466637
184,Mean Relative Humidity percent lag: 2,0.0038412889
185,Mean Relative Humidity percent lag: 12,0.0037729873
186,12 hr rolling avg Rainfall_manukau_heads_rain,0.0037371337
187,Mean sea level pressure Hpa lag: 1,0.0036823442
188,hour of day sin,0.0036698584
189,Mean sea level pressure Hpa lag: 6,0.0036299075
190,Speed_manukau_heads_wind,0.0036264642
191,24 hr rolling avg cloudiness,0.0036144853
192,Rainfall_motat_rain lag: 3,0.0035719138
193,Seasons_Winter,0.003561176
194,Rainfall_motat_rain lag: 6,0.0035211013
195,Rainfall_albany_rain lag: 24,0.0035086484
196,P_grad_mang_man_t,0.0034870629
197,Seasons_Summer,0.0
198,Seasons_Spring,0.0
199,Seasons_Autumn,0.0
200,cloudiness,0.0
201,Sunshine hrs lag: 1,0.0
202,Sunshine hrs lag: 12,0.0
203,24 hr rolling avg Sea_level_pressure_manukau_heads_pressure,0.0
204,3 hr rolling avg Sea_level_pressure_manukau_heads_pressure,0.0
205,Rainfall_motat_rain lag: 12,0.0
206,Rainfall_albany_rain lag: 12,0.0
207,Sea_level_pressure_motat_pressure lag: 1,0.0
208,Sea_level_pressure_manukau_heads_pressure lag: 1,0.0
209,3 hr rolling avg Sea_level_pressure_albany_pressure,0.0
210,Sunshine hrs,0.0
