Frequency [D/H],Observation time UTC,Data Source (rainfall),Rainfall [mm],PERIOD [hrs],Deficit [mm],Runoff [mm],Data source (water balance)
S,2019-06-08T00:00:00Z,S,0,6,,,
S,2019-06-08T06:00:00Z,S,0.8,6,,,
S,2019-06-08T12:00:00Z,S,0,6,,,
S,2019-06-08T18:00:00Z,S,0,6,,,
S,2019-06-09T00:00:00Z,S,0,6,,,
S,2019-06-09T06:00:00Z,S,0,6,,,
S,2019-06-09T12:00:00Z,S,0,6,,,
S,2019-06-09T18:00:00Z,S,0,6,,,
S,2019-06-10T00:00:00Z,S,0,6,,,
S,2019-06-10T06:00:00Z,S,0,6,,,
S,2019-06-10T12:00:00Z,S,0,6,,,
S,2019-06-10T18:00:00Z,S,0,6,,,
S,2019-06-11T00:00:00Z,S,0,6,,,
S,2019-06-11T06:00:00Z,S,0,6,,,
S,2019-06-11T12:00:00Z,S,0,6,,,
S,2019-06-11T18:00:00Z,S,0,6,,,
S,2019-06-12T00:00:00Z,S,0,6,,,
S,2019-06-12T06:00:00Z,S,0.5,6,,,
S,2019-06-12T12:00:00Z,S,0,6,,,
S,2019-06-12T18:00:00Z,S,0,6,,,
S,2019-06-13T00:00:00Z,S,0,6,,,
S,2019-06-13T06:00:00Z,S,0,6,,,
S,2019-06-13T12:00:00Z,S,0,6,,,
S,2019-06-13T18:00:00Z,S,0,6,,,
S,2019-06-14T00:00:00Z,S,0,6,,,
S,2019-06-14T06:00:00Z,S,0,6,,,
S,2019-06-14T12:00:00Z,S,0,6,,,
S,2019-06-14T18:00:00Z,S,0.7,6,,,
S,2019-06-15T00:00:00Z,S,2,6,,,
S,2019-06-15T06:00:00Z,S,0.9,6,,,
S,2019-06-15T12:00:00Z,S,0.2,6,,,
S,2019-06-15T18:00:00Z,S,2,6,,,
S,2019-06-16T00:00:00Z,S,0,6,,,
S,2019-06-16T06:00:00Z,S,0,6,,,
S,2019-06-16T12:00:00Z,S,0,6,,,
S,2019-06-16T18:00:00Z,S,2,6,,,
S,2019-06-17T00:00:00Z,S,0.3,6,,,
S,2019-06-17T06:00:00Z,S,0,6,,,
S,2019-06-17T12:00:00Z,S,0.3,6,,,
S,2019-06-17T18:00:00Z,S,0,6,,,
S,2019-06-18T00:00:00Z,S,0,6,,,
S,2019-06-18T06:00:00Z,S,0,6,,,
S,2019-06-18T12:00:00Z,S,0,6,,,
S,2019-06-18T18:00:00Z,S,0,6,,,
S,2019-06-19T00:00:00Z,S,0,6,,,
S,2019-06-19T06:00:00Z,S,0,6,,,
S,2019-06-19T12:00:00Z,S,0,6,,,
S,2019-06-19T18:00:00Z,S,0,6,,,
S,2019-06-20T00:00:00Z,S,0,6,,,
S,2019-06-20T06:00:00Z,S,0,6,,,
S,2019-06-20T12:00:00Z,S,4,6,,,
S,2019-06-20T18:00:00Z,S,0.6,6,,,
S,2019-06-21T00:00:00Z,S,0.1,6,,,
S,2019-06-21T06:00:00Z,S,0.2,6,,,
S,2019-06-21T12:00:00Z,S,0.3,6,,,
S,2019-06-21T18:00:00Z,S,0,6,,,
S,2019-06-22T00:00:00Z,S,0,6,,,
S,2019-06-22T06:00:00Z,S,0,6,,,
S,2019-06-22T12:00:00Z,S,0,6,,,
S,2019-06-22T18:00:00Z,S,5,6,,,
S,2019-06-23T00:00:00Z,S,1,6,,,
S,2019-06-23T06:00:00Z,S,0.1,6,,,
S,2019-06-23T12:00:00Z,S,3,6,,,
S,2019-06-23T18:00:00Z,S,2,6,,,
